2014-03-04 14:54:25 INFO ihm.Calibration : Properties : 
autofocus_calibration_data=logs/calibration.data
simulation_calibration_data=test/calib_lisa_test_droneId_5.data
paparazzi_script_calibration=paparazzi_calibration/calibrate.py

2014-03-04 14:54:40 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:40 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:40 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:40 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:40 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:40 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:40 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:40 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:40 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:40 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:40 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:40 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:41 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:41 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:41 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:41 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:41 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:41 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:41 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:41 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:41 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:41 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:41 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:41 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:41 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:42 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:42 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:42 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:42 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:42 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:42 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:42 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:42 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:42 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
2014-03-04 14:54:42 INFO filtre.Filter : Filter.add noiseThreshold=31.15999984741211
