2014-03-04 18:11:51 INFO ihm.Calibration : Properties : 
autofocus_calibration_data=logs/calibration.data
simulation_calibration_data=test/calib_lisa_test_droneId_5.data
paparazzi_script_calibration=paparazzi_calibration/calibrate.py

2014-03-04 18:11:53 INFO testData.Sender : starting sending IMU test data...
2014-03-04 18:11:53 INFO imu.IMU : new aircraft built with id=5
2014-03-04 18:12:02 INFO ihm.MainFrame : starting calibration of accelerometer...
2014-03-04 18:12:02 INFO imu.IMU : listening raw datas for drone 5...
2014-03-04 18:12:02 INFO filtre.Filter : nbCorrectVect=1 nbWrongVect=0
2014-03-04 18:12:02 INFO filtre.Filter : nbCorrectVect=2 nbWrongVect=0
2014-03-04 18:12:02 INFO filtre.Filter : nbCorrectVect=2 nbWrongVect=1
2014-03-04 18:12:02 INFO filtre.Filter : nbCorrectVect=2 nbWrongVect=2
2014-03-04 18:12:02 INFO filtre.Filter : nbCorrectVect=3 nbWrongVect=2
2014-03-04 18:12:03 INFO filtre.Filter : nbCorrectVect=3 nbWrongVect=3
2014-03-04 18:12:03 INFO filtre.Filter : nbCorrectVect=3 nbWrongVect=4
2014-03-04 18:12:03 INFO filtre.Filter : nbCorrectVect=3 nbWrongVect=5
2014-03-04 18:12:03 INFO filtre.Filter : nbCorrectVect=4 nbWrongVect=5
2014-03-04 18:12:03 INFO filtre.Filter : nbCorrectVect=5 nbWrongVect=5
2014-03-04 18:12:03 INFO filtre.Filter : nbCorrectVect=6 nbWrongVect=5
2014-03-04 18:12:03 INFO filtre.Filter : nbCorrectVect=6 nbWrongVect=6
2014-03-04 18:12:03 INFO filtre.Filter : nbCorrectVect=7 nbWrongVect=6
2014-03-04 18:12:03 INFO filtre.Filter : nbCorrectVect=7 nbWrongVect=7
2014-03-04 18:12:03 INFO filtre.Filter : nbCorrectVect=8 nbWrongVect=7
2014-03-04 18:12:04 INFO filtre.Filter : nbCorrectVect=9 nbWrongVect=7
2014-03-04 18:12:04 INFO filtre.Filter : nbCorrectVect=9 nbWrongVect=8
2014-03-04 18:12:04 INFO filtre.Filter : nbCorrectVect=10 nbWrongVect=8
2014-03-04 18:12:04 INFO filtre.Filter : nbCorrectVect=11 nbWrongVect=8
