2014-03-04 15:09:08 INFO ihm.Calibration : Properties : 
autofocus_calibration_data=logs/calibration.data
simulation_calibration_data=test/calib_lisa_test_droneId_5.data
paparazzi_script_calibration=paparazzi_calibration/calibrate.py

2014-03-04 15:09:09 INFO imu.IMU : new aircraft built with id=5
2014-03-04 15:09:09 INFO testData.Sender : starting sending IMU test data...
2014-03-04 15:09:12 INFO ihm.MainFrame : starting calibration of accelerometer...
2014-03-04 15:09:12 INFO imu.IMU : listening raw datas for drone 5...
2014-03-04 15:09:12 INFO filtre.Filter : Filter.add noiseThreshold=31.6200008392334
2014-03-04 15:09:12 INFO filtre.Filter : Filter.updateCorrectness : false
2014-03-04 15:09:12 INFO filtre.Filter : Filter.add noiseThreshold=31.6200008392334
2014-03-04 15:09:13 INFO filtre.Filter : Filter.add noiseThreshold=31.6200008392334
2014-03-04 15:09:13 INFO filtre.Filter : Filter.add noiseThreshold=31.6200008392334
2014-03-04 15:09:13 INFO filtre.Filter : Filter.add noiseThreshold=31.6200008392334
2014-03-04 15:09:13 INFO filtre.Filter : Filter.add noiseThreshold=31.6200008392334
2014-03-04 15:09:13 INFO filtre.Filter : Filter.add noiseThreshold=31.6200008392334
2014-03-04 15:09:13 INFO filtre.Filter : Filter.add noiseThreshold=31.6200008392334
2014-03-04 15:09:13 INFO filtre.Filter : Filter.add noiseThreshold=31.6200008392334
2014-03-04 15:09:13 INFO filtre.Filter : Filter.add noiseThreshold=31.6200008392334
2014-03-04 15:09:13 INFO filtre.Filter : Filter.add noiseThreshold=31.6200008392334
2014-03-04 15:09:13 INFO filtre.Filter : Filter.add noiseThreshold=31.6200008392334
2014-03-04 15:09:13 INFO filtre.Filter : Filter.add noiseThreshold=31.6200008392334
2014-03-04 15:09:13 INFO filtre.Filter : Filter.add noiseThreshold=31.6200008392334
2014-03-04 15:09:14 INFO filtre.Filter : Filter.add noiseThreshold=31.6200008392334
2014-03-04 15:09:14 INFO filtre.Filter : Filter.add noiseThreshold=31.6200008392334
2014-03-04 15:09:14 INFO filtre.Filter : Filter.add noiseThreshold=31.6200008392334
2014-03-04 15:09:14 INFO filtre.Filter : Filter.add noiseThreshold=31.6200008392334
2014-03-04 15:09:14 INFO filtre.Filter : Filter.add noiseThreshold=31.6200008392334
